"Hours";"Minutes";"Seconds";"ID"
2;11;48;1
2;11;48;NA
2;9;24;3
2;9;43;4
2;9;57;5
2;8;16;6
2;10;2;7
2;9;50;8
2;10;20;9
2;9;3;10
2;10;10;11
2;9;17;12
2;10;2;13
2;10;50;14
2;8;53;15
2;8;30;16
2;10;0;17
2;7;55;18
2;7;57;19
2;7;57;20
2;6;36;21
2;7;9;22
2;5;38;23
2;7;56;NA
2;6;18;25
2;7;35;26
2;6;39;27
2;7;41;28
2;5;15;29
2;5;10;30
2;5;19;31
2;4;40;32
2;4;44;33
2;6;4;34
2;4;29;NA
2;4;42;36
2;3;5;37
2;5;48;38
2;4;17;39
2;2;37;40
2;5;58;41
2;4;1;42
2;4;39;43
2;1;25;44
2;29;57;45
2;29;43;46
2;25;29;47
2;24;26;48
2;21;6;49
2;24;54;50
2;22;48;51
2;25;41;52
2;25;56;53
2;26;31;54
2;26;14;55
2;29;39;56
2;27;9;57
2;32;34;58
2;27;43;59
2;27;54;60
2;26;51;61
2;26;26;62
2;23;22;63
2;24;33;64
2;23;57;65
2;18;56;66
2;15;25;67
2;22;35;68
2;17;42;69
2;19;35;70
2;20;38;71
2;24;14;72
2;22;11;73
2;22;38;74
2;19;19;75
2;18;37;76
2;20;15;77
2;20;21;78
2;23;21;79
2;22;58;80
2;17;1;81
2;18;31;82
2;18;20;83
2;18;58;84
2;17;43;85
2;17;26;86
2;18;33;87
3;20;7;88
2;38;40;89
2;19;53;90
2;26;38;91
2;8;34;92
2;1;37;93
1;59;31;94
1;57;12;NA
1;52;52;96
1;51;42;97
1;44;10;98
1;46;6;99
1;39;14;100
1;43;48;101
1;42;15;102
1;35;18;103
1;35;27;104
1;41;50;105
1;42;37;106
1;39;44;107
1;32;2;108
1;36;56;109
1;35;51;110
1;29;48;111
1;30;51;112
1;33;56;113
1;28;57;114
1;35;21;115
1;30;5;116
1;32;26;117
1;31;29;118
1;32;41;119
1;31;31;120
1;35;19;121
1;31;6;122
1;31;15;123
1;33;37;124
1;36;4;125
1;26;27;126
4;29;3;127
3;10;4;128
2;47;12;129
3;2;40;130
2;45;30;131
2;41;45;132
3;3;54;133
2;10;25;134
2;4;40;135
2;17;23;136
2;3;5;137
2;8;26;138
2;17;2;139
2;0;10;140
1;49;9;141
2;2;1;142
1;57;38;143
2;23;30;144
2;13;55;145
2;22;51;146
2;4;21;147
2;4;58;148
1;57;0;149
1;59;57;150
1;50;40;151
1;48;4;152
1;50;39;153
1;52;33;154
1;46;31;155
1;49;10;156
1;46;2;157
1;45;12;NA
1;41;14;159
1;44;14;160
1;39;57;161
1;42;58;162
1;44;9;163
1;40;7;164
1;39;52;165
